127.0.0.1 - - [18/Aug/2023:09:17:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:18:00 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:18:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:21:47 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:25:31 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:27:18 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:29:04 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:29:15 +0900] "GET /JSP7/jsp/testPro2.jsp?name=dasdas&age=23&sex=on&hobby1=on&hobby2=on HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:29:21 +0900] "GET /JSP7/jsp/testPro2.jsp?name=dasdas&age=23&sex=on&hobby1=on&hobby2=on HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:32:15 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:32:28 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:35:27 +0900] "GET /JSP7/jsp/testPro2.jsp HTTP/1.1" 500 2261
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:35:32 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:35:39 +0900] "GET /JSP7/jsp/testPro2.jsp?name=ddddddd&age=12&sex=on&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 500 2261
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:39:37 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:39:46 +0900] "GET /JSP7/jsp/testPro2.jsp?name=dsewrew&age=22&sex=on&hobby1=on&hobby2=on&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 500 2331
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:40:39 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:40:45 +0900] "GET /JSP7/jsp/testPro2.jsp?name=asdas&age=22&sex=on&hobby1=on&hobby2=on&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:43:42 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:43:55 +0900] "GET /JSP7/jsp/testPro2.jsp?name=%E3%84%B4%E3%84%B7%E3%84%B1%E3%85%88%E3%84%B7%E3%84%B1%E3%85%88&age=22&sex=on&hobby=1&hobby=3&subject=%EC%88%98%ED%95%99 HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:44:26 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:44:37 +0900] "GET /JSP7/jsp/testPro2.jsp?name=ewqrew&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EB%82%9A%EC%8B%9C&subject=%EC%98%81%EC%96%B4 HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:46:45 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:48:39 +0900] "GET /JSP7/jsp/testPro2.jsp?name=ewrwe&age=32&sex=on&hobby=%EC%9A%B4%EB%8F%99&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 500 3812
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:50:25 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:50:33 +0900] "GET /JSP7/jsp/testPro2.jsp?name=sdfsd&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:51:36 +0900] "GET /JSP7/jsp/testPro2.jsp?name=%E3%84%B4%E3%85%81%E3%85%87%E3%84%B4%E3%85%81&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:52:10 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:52:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:52:22 +0900] "GET /JSP7/jsp/testPro2.jsp?name=%EC%95%84%EC%9D%B4%ED%8B%B0%EC%9C%8C&age=999&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=%EC%98%81%EC%96%B4 HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:52:50 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:52:58 +0900] "GET /JSP7/jsp/testPro2.jsp?name=WWW&age=22222&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:56:09 +0900] "GET /JSP7/jsp/testPro2.jsp?name=WWW&age=22222&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:56:28 +0900] "GET /JSP7/jsp/testPro2.jsp?name=WWW&age=22222&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:56:35 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:56:40 +0900] "GET /JSP7/jsp/testPro2.jsp?name=SADSA&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&subject=%EA%B5%AD%EC%96%B4 HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:57:26 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:57:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:57:43 +0900] "GET /JSP7/jsp/testPro2.jsp?name=%EC%95%84%EC%9D%B4%ED%8B%B0%EC%9C%8C&age=4444&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=%EA%B3%BC%ED%95%99 HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:58:56 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [18/Aug/2023:09:59:05 +0900] "GET /JSP7/jsp/testPro2.jsp?name=SADAS&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:00:59 +0900] "GET /JSP7/jsp/testPro2.jsp?name=SADAS&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:01:10 +0900] "GET /JSP7/jsp/testPro2.jsp?name=SADAS&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:01:56 +0900] "GET /JSP7/jsp/testPro2.jsp?name=SADAS&age=22&sex=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:03:03 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:03:37 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:03:46 +0900] "GET /JSP7/jsp/testPro2.jsp?name=wewqeqw&age=22&sex=%EB%82%A8%EC%84%B1&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:03:54 +0900] "GET /JSP7/jsp/testPro2.jsp?name=wewqeqw&age=22&sex=%EC%97%AC%EC%84%B1&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:04:42 +0900] "GET /JSP7/jsp/testPro2.jsp?name=wewqeqw&age=22&sex=%EC%97%AC%EC%84%B1&hobby=%EC%9A%B4%EB%8F%99&hobby=%EA%B2%8C%EC%9E%84&hobby=%EB%82%9A%EC%8B%9C&subject=JS HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:35:13 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:36:23 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:36:28 +0900] "GET /JSP7/jsp/testPro2.jsp?name=sadas&age=11&sex=%EB%82%A8%EC%84%B1&subject=JAVA HTTP/1.1" 500 2579
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:36:39 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:36:45 +0900] "GET /JSP7/jsp/testPro2.jsp?name=asdsad&age=22&sex=%EB%82%A8%EC%84%B1&subject=JAVA HTTP/1.1" 500 2579
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:37:09 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:37:14 +0900] "GET /JSP7/jsp/testPro2.jsp?name=dsfds&age=&sex=%EB%82%A8%EC%84%B1&subject=JAVA HTTP/1.1" 500 2838
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:41:18 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:41:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:41:24 +0900] "GET /JSP7/jsp/testPro2.jsp?name=daasdas&age=22&sex=%EB%82%A8%EC%84%B1&subject=JAVA HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:41:52 +0900] "GET /JSP7/jsp/testPro2.jsp?name=daasdas&age=22&sex=%EB%82%A8%EC%84%B1&subject=JAVA HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:44:05 +0900] "GET /JSP7/jsp/testForm2.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:44:11 +0900] "GET /JSP7/jsp/testPro2.jsp?name=asdsa&age=22&sex=%EB%82%A8%EC%84%B1&subject= HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [18/Aug/2023:10:44:19 +0900] "GET /JSP7/jsp/testPro2.jsp?name=asdsa&age=22&sex=%EB%82%A8%EC%84%B1&subject=JAVA HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [18/Aug/2023:11:14:00 +0900] "GET /JSP7/jsp/itwillMain.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [18/Aug/2023:11:14:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2023:11:15:41 +0900] "GET /JSP7/jsp/itwillMain.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [18/Aug/2023:11:16:56 +0900] "GET /JSP7/jsp/itwillMain.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [18/Aug/2023:11:18:59 +0900] "GET /JSP7/jsp/itwillMain.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/Aug/2023:11:19:23 +0900] "GET /JSP7/jsp/itwillMain.jsp HTTP/1.1" 200 384
