127.0.0.1 - - [20/Oct/2023:09:16:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:24 +0900] "GET /MVC7/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:25 +0900] "GET /MVC7/Main.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:25 +0900] "GET /MVC7/MemberLogin.me HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:29 +0900] "POST /MVC7/MemberLoginAction.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:29 +0900] "GET /MVC7/Main.me HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:31 +0900] "GET /MVC7/MemberList.me HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:32 +0900] "GET /MVC7/Main.me HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:33 +0900] "GET /MVC7/MemberInfo.me HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:34 +0900] "GET /MVC7/Main.me HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:35 +0900] "GET /MVC7/MemberLogout.me HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:36 +0900] "GET /MVC7/Main.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:36 +0900] "GET /MVC7/MemberLogin.me HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:41 +0900] "POST /MVC7/MemberLoginAction.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:41 +0900] "GET /MVC7/Main.me HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:42 +0900] "GET /MVC7/MemberList.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:42 +0900] "GET /MVC7/Main.me HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:42 +0900] "GET /MVC7/MemberList.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2023:09:16:42 +0900] "GET /MVC7/Main.me HTTP/1.1" 200 725
